source,target
chd7,apoa1
chd7,arhgap26
chd7,atp11a
chd7,atp5o
chd7,axin1
chd7,bcl11b
chd7,bmp4
chd7,brwd1
chd7,bud13
chd7,c21orf59
chd7,c21orf63
chd7,c21orf66
chd7,c22orf24
chd7,c5orf35
chd7,c9orf106
chd7,cacng6
chd7,capza2
chd7,cav1
chd7,cav2
chd7,ccdc93
chd7,cdh2
chd7,cftr
chd7,cgn
chd7,chpf
chd7,crat
chd7,cryzl1
chd7,ctag1b
chd7,ctgf
chd7,cttnbp2
chd7,ddhd1
chd7,ddx43
chd7,depdc5
chd7,dkc1
chd7,donson
chd7,eef1a1
chd7,eif4enif1
chd7,evx1
chd7,ext1
chd7,f8a2
chd7,fam3a
chd7,fam83c
chd7,fbxo7
chd7,fgf1
chd7,flj21062
chd7,flj45139
chd7,flna
chd7,foxp4
chd7,fzd1
chd7,gdi1
chd7,gtpbp10
chd7,hbe1
chd7,hbq1
chd7,hcca2
chd7,hmgb1
chd7,hoxa1
chd7,hoxa10
chd7,hoxa11
chd7,hoxa13
chd7,hoxa3
chd7,hoxa4
chd7,hoxa5
chd7,hoxa6
chd7,hoxa7
chd7,hoxa9
chd7,ier5l
chd7,ifnar1
chd7,ifnar2
chd7,ifngr2
chd7,ikbkg
chd7,il10rb
chd7,inha
chd7,irf1
chd7,itsn1
chd7,katnal1
chd7,khdc1
chd7,kiaa0999
chd7,kir2dl1
chd7,leng9
chd7,map3k1
chd7,mcf2l
chd7,mdfic
chd7,med30
chd7,met
chd7,mier3
chd7,moxd1
chd7,mpp1
chd7,mrpl23
chd7,mrps6
chd7,mtcp1
chd7,ndufa3
chd7,nfs1
chd7,nlrp12
chd7,nr2e1
chd7,nrxn1
chd7,or51g2
chd7,or51t1
chd7,pip5k1a
chd7,pisd
chd7,pogz
chd7,ppp2r4
chd7,prkcg
chd7,psmg1
chd7,rab11fip3
chd7,rad50
chd7,rbm39
chd7,rpl10
chd7,rps9
chd7,sec63
chd7,selenbp1
chd7,serf2
chd7,shroom1
chd7,slc22a11
chd7,slc22a5
chd7,slc4a3
chd7,slc5a1
chd7,snx27
chd7,son
chd7,spag4
chd7,spp2
chd7,st7
chd7,stag2
chd7,steap1
chd7,steap2
chd7,syn3
chd7,syt8
chd7,tcp10l
chd7,tes
chd7,th
chd7,thoc2
chd7,timp3
chd7,tmem50b
chd7,tp53bp1
chd7,tram1l1
chd7,trim34
chd7,trim5
chd7,trim6
chd7,trpm8
chd7,tuft1
chd7,ugt1a1
chd7,vps72
chd7,xiap
cnot3,0610007p08rik
cnot3,0610007p22rik
cnot3,0610010k14rik
cnot3,0610011f06rik
cnot3,0610038d11rik
cnot3,1110003e01rik
cnot3,1110006g06rik
cnot3,1110014k08rik
cnot3,1110029e03rik
cnot3,1110034a24rik
cnot3,1110034c04rik
cnot3,1110036o03rik
cnot3,1110049f12rik
cnot3,1190002n15rik
cnot3,1200011o22rik
cnot3,1300002k09rik
cnot3,1300018i05rik
cnot3,1500004a08rik
cnot3,1500041n16rik
cnot3,1700012g19rik
cnot3,1700012h17rik
cnot3,1700016c15rik
cnot3,1700017b05rik
cnot3,1700019n12rik
cnot3,1700021f05rik
cnot3,1700034h14rik
cnot3,1700052k11rik
cnot3,1700065d16rik
cnot3,1810008a14rik
cnot3,1810008a18rik
cnot3,2010001m09rik
cnot3,2010003o18rik
cnot3,2010007h12rik
cnot3,2010011i20rik
cnot3,2010016i18rik
cnot3,2010107g23rik
cnot3,2210403b10rik
cnot3,2310003h01rik
cnot3,2310007f21rik
cnot3,2310014l17rik
cnot3,2310016e02rik
cnot3,2310016m24rik
cnot3,2310020f24rik
cnot3,2310028n02rik
cnot3,2310037i24rik
cnot3,2310042g06rik
cnot3,2310046o06rik
cnot3,2310057d15rik
cnot3,2310061j03rik
cnot3,2410004p22rik
cnot3,2410016o06rik
cnot3,2410018c20rik
cnot3,2410193c02rik
cnot3,2510009e07rik
cnot3,2510039o18rik
cnot3,2600005c20rik
cnot3,2600011e07rik
cnot3,2610024e20rik
cnot3,2610101n10rik
cnot3,2610209a20rik
cnot3,2810002n01rik
cnot3,2810008m24rik
cnot3,2810021b07rik
cnot3,2810452k22rik
cnot3,2810485i05rik
cnot3,2900009i07rik
cnot3,2900024o10rik
cnot3,2900062l11rik
cnot3,3110005g23rik
cnot3,3110048e14rik
cnot3,3230401i01rik
cnot3,4430402i18rik
cnot3,4631402n15rik
cnot3,4733401h18rik
cnot3,4833421e05rik
cnot3,4930402e16rik
cnot3,4930518f03rik
cnot3,4930543l23rik
cnot3,4930572j05rik
cnot3,4931440f15rik
cnot3,4931440p22rik
cnot3,4932417h02rik
cnot3,4932418e24rik
cnot3,4933406e20rik
cnot3,4933439f11rik
cnot3,4933439f18rik
cnot3,5033414k04rik
cnot3,5230400g24rik
cnot3,5330421f07rik
cnot3,5330438d12rik
cnot3,5730420b22rik
cnot3,5730557b15rik
cnot3,5730590g19rik
cnot3,5730593n15rik
cnot3,5830417c01rik
cnot3,5830433m19rik
cnot3,6030446n20rik
cnot3,6330406i15rik
cnot3,6330416l11rik
cnot3,6330442e10rik
cnot3,6330578e17rik
cnot3,6530401d17rik
cnot3,6530418l21rik
cnot3,6720416l17rik
cnot3,6820408c15rik
cnot3,6820429m01
cnot3,8430406i07rik
cnot3,9030227g01rik
cnot3,9130019p16rik
cnot3,9430010o03rik
cnot3,9430067k14rik
cnot3,9430078g10rik
cnot3,9530056k15rik
cnot3,9530058b02rik
cnot3,9630046k23rik
cnot3,9830147p19rik
cnot3,9930021d14rik
cnot3,a130092j06rik
cnot3,a230050p20rik
cnot3,a230051g13rik
cnot3,a430057m04rik
cnot3,a430106j12rik
cnot3,a530095i07rik
cnot3,a630047e20rik
cnot3,a830031a19rik
cnot3,a830073o21rik
cnot3,a830091i15rik
cnot3,a930037g23rik
cnot3,aa467197
cnot3,aaas
cnot3,aanat
cnot3,abhd1
cnot3,abhd5
cnot3,ablim2
cnot3,abtb2
cnot3,acot1
cnot3,acot12
cnot3,acot2
cnot3,acot3
cnot3,acot4
cnot3,acot5
cnot3,acot6
cnot3,acsl3
cnot3,actb
cnot3,actg
cnot3,actg1
cnot3,actr1b
cnot3,acy1l2
cnot3,adamts2
cnot3,adamts20
cnot3,adamtsl4
cnot3,adck4
cnot3,adcy2
cnot3,adcy7
cnot3,add3
cnot3,adpgk
cnot3,adprhl2
cnot3,adra2c
cnot3,adrb2
cnot3,adrm1
cnot3,adss
cnot3,af397014
cnot3,afg3l1
cnot3,agpat2
cnot3,ai413582
cnot3,ai839735
cnot3,ai841794
cnot3,ai847670
cnot3,ai851790
cnot3,akap1
cnot3,akap10
cnot3,akap2
cnot3,akr1b3
cnot3,alas1
cnot3,aldh1l2
cnot3,alg5
cnot3,alkbh2
cnot3,alkbh4
cnot3,alkbh5
cnot3,aloxe3
cnot3,ampd3
cnot3,angptl1
cnot3,ankib1
cnot3,ankrd10
cnot3,ankrd13c
cnot3,ankrd17
cnot3,ankrd37
cnot3,ankrd38
cnot3,ankrd49
cnot3,ankrd54
cnot3,ankrd58
cnot3,anks1
cnot3,antxr2
cnot3,apbb2
cnot3,apln
cnot3,aplp2
cnot3,apobec3
cnot3,appbp1
cnot3,arc
cnot3,arf2
cnot3,arf4
cnot3,arf6
cnot3,arhgdia
cnot3,arih1
cnot3,arl1
cnot3,arl8b
cnot3,armc6
cnot3,armc7
cnot3,armc9
cnot3,arpc5
cnot3,arpc5l
cnot3,arrdc2
cnot3,arv1
cnot3,arvcf
cnot3,asb6
cnot3,asb8
cnot3,atf5
cnot3,atg16l1
cnot3,atg3
cnot3,atg4b
cnot3,atox1
cnot3,atp10a
cnot3,atp13a1
cnot3,atp5c1
cnot3,atp6ap2
cnot3,atp6v1b2
cnot3,atpaf2
cnot3,atpbd3
cnot3,atpif1
cnot3,atxn7l2
cnot3,au014645
cnot3,au022252
cnot3,aw049765
cnot3,aw822216
cnot3,ay074887
cnot3,b230208h17rik
cnot3,b3galt6
cnot3,b3gnt1
cnot3,b430319f04rik
cnot3,b4galnt3
cnot3,b4galt1
cnot3,b4galt3
cnot3,bag5
cnot3,banp
cnot3,bc003331
cnot3,bc004853
cnot3,bc019561
cnot3,bc021891
cnot3,bc030477
cnot3,bc031181
cnot3,bc034204
cnot3,bc035295
cnot3,bc035954
cnot3,bc037034
cnot3,bc040758
cnot3,bc043934
cnot3,bc046331
cnot3,bc051227
cnot3,bc052055
cnot3,bc056474
cnot3,bc056923
cnot3,bc057627
cnot3,bc057893
cnot3,bc060631
cnot3,bc088983
cnot3,bc107364
cnot3,bcl11a
cnot3,bcl11b
cnot3,bclaf1
cnot3,bcor
cnot3,bicd2
cnot3,birc6
cnot3,bmp1
cnot3,bmper
cnot3,bmpr2
cnot3,bnc2
cnot3,bnip2
cnot3,bop1
cnot3,brca1
cnot3,brca2
cnot3,bre
cnot3,brms1
cnot3,btbd4
cnot3,btbd5
cnot3,btbd6
cnot3,c130040n14rik
cnot3,c1qbp
cnot3,c1ql1
cnot3,c1qtnf3
cnot3,c230021p08rik
cnot3,c76566
cnot3,c85492
cnot3,cabin1
cnot3,cables1
cnot3,cabp7
cnot3,cacna2d3
cnot3,cacybp
cnot3,calm1
cnot3,calm3
cnot3,camk2b
cnot3,camk2g
cnot3,capn7
cnot3,car5a
cnot3,car7
cnot3,casp14
cnot3,casp9
cnot3,casr
cnot3,catsper2
cnot3,cbfb
cnot3,cbln1
cnot3,cbx8
cnot3,ccdc101
cnot3,ccdc103
cnot3,ccdc12
cnot3,ccdc124
cnot3,ccdc131
cnot3,ccdc18
cnot3,ccdc44
cnot3,ccdc69
cnot3,ccne1
cnot3,ccne2
cnot3,ccnl2
cnot3,cct6a
cnot3,cd151
cnot3,cd164
cnot3,cd247
cnot3,cd320
cnot3,cd36
cnot3,cd3d
cnot3,cd3g
cnot3,cd83
cnot3,cdc2l1
cnot3,cdc5l
cnot3,cdc7
cnot3,cdca4
cnot3,cdh1
cnot3,cdkn1b
cnot3,cds2
cnot3,cenpl
cnot3,cep135
cnot3,cep57
cnot3,cep68
cnot3,cep78
cnot3,cfl1
cnot3,chaf1a
cnot3,chchd1
cnot3,cherp
cnot3,chgb
cnot3,chit1
cnot3,chml
cnot3,chmp2a
cnot3,chst2
cnot3,chst8
cnot3,cib1
cnot3,cideb
cnot3,ckap2
cnot3,clca2
cnot3,clcn2
cnot3,cldn3
cnot3,clk1
cnot3,clock
cnot3,cml1
cnot3,cmtm4
cnot3,cmtm8
cnot3,cnbp
cnot3,cnih3
cnot3,cnn3
cnot3,cnnm2
cnot3,cnot2
cnot3,cnot7
cnot3,cog4
cnot3,col15a1
cnot3,col16a1
cnot3,col18a1
cnot3,col27a1
cnot3,col4a1
cnot3,col4a2
cnot3,comtd1
cnot3,copg2
cnot3,coq2
cnot3,coro6
cnot3,cox4nb
cnot3,cox5a
cnot3,cox6a1
cnot3,cpe
cnot3,cpne1
cnot3,cpne2
cnot3,cpsf4
cnot3,creb1
cnot3,creb3l3
cnot3,crebl2
cnot3,crtap
cnot3,crtc1
cnot3,cry1
cnot3,cryba1
cnot3,csnk1d
cnot3,ctgf
cnot3,ctnnal1
cnot3,ctps
cnot3,ctrl
cnot3,cugbp1
cnot3,cul2
cnot3,cul5
cnot3,cxxc4
cnot3,cyfip2
cnot3,cyld
cnot3,cyp2r1
cnot3,cyp2s1
cnot3,d030011o10rik
cnot3,d030051n19rik
cnot3,d11bwg0434e
cnot3,d11ertd636e
cnot3,d11wsu47e
