source,target
nanog,actn3
nanog,plin2
nanog,aldoc
nanog,anp32a
nanog,anxa3
nanog,arg2
nanog,slc7a3
nanog,bhmt
nanog,bmi1
nanog,bnip3
nanog,car2
nanog,ccng2
nanog,ccrn4l
nanog,cdkn1c
nanog,plk3
nanog,cobl
nanog,coch
nanog,cyp7b1
nanog,ddx4
nanog,dub1
nanog,usp17l5
nanog,edn2
nanog,egr1
nanog,eif1a
nanog,fgf1
nanog,fgf17
nanog,fgf4
nanog,fgfbp1
nanog,ctgf
nanog,folr1
nanog,fstl1
nanog,fut9
nanog,dtx1
nanog,fzd5
nanog,gabra1
nanog,gata2
nanog,gata3
nanog,gbx2
nanog,gli2
nanog,gng3
nanog,gpc3
nanog,h1f0
nanog,hck
nanog,hmox1
nanog,foxa1
nanog,hspa1b
nanog,id1
nanog,id2
nanog,ier3
nanog,irgm1
nanog,cyr61
nanog,igfbp3
nanog,inhbb
nanog,kit
nanog,krt18
nanog,krt8
nanog,lck
nanog,ldhb
nanog,lgals1
nanog,lgals6
nanog,anxa1
nanog,lrpap1
nanog,lxn
nanog,marcks
nanog,ascl2
nanog,mep1b
nanog,kitl
nanog,mras
nanog,mut
nanog,gadd45b
nanog,mylpf
nanog,nefl
nanog,nodal
nanog,slc11a1
nanog,nup62
nanog,olfr50
nanog,pcdh8
nanog,pdgfa
nanog,abcb1b
nanog,plaur
nanog,pou4f2
nanog,procr
nanog,rhox6
nanog,s100a6
nanog,sepp1
nanog,sfrp1
nanog,sgce
nanog,slc4a2
nanog,snai1
nanog,plk2
nanog,sorl1
nanog,sos2
nanog,spna1
nanog,spnb2
nanog,stat6
nanog,bhlhe40
nanog,sycp3
nanog,sdc4
nanog,tcl1
nanog,phlda1
nanog,tfpi
nanog,tpi1
nanog,tst
nanog,lin7c
nanog,plagl1
nanog,klf6
nanog,gadd45g
nanog,mgll
nanog,whsc2
nanog,esrrb
nanog,gcat
nanog,rps3
nanog,pla2g7
nanog,phlda3
nanog,d7zem2
nanog,ndrg2
nanog,hist1h1c
nanog,hs6st2
nanog,stag3
nanog,d13ertd608e
nanog,d4bwg0951e
nanog,slc40a1
nanog,pmm2
nanog,myst4
nanog,tcstv1
nanog,phc2
nanog,cadm1
nanog,plac1
nanog,cpb2
nanog,pfkp
nanog,tbx20
nanog,slc25a20
nanog,pmaip1
nanog,nampt
nanog,fxyd6
nanog,perp
nanog,zic5
nanog,lima1
nanog,spesp1
nanog,pycard
nanog,lonp2
nanog,lpar6
nanog,jam2
nanog,qprt
nanog,abhd5
nanog,polr3g
nanog,patl2
nanog,lrrc28
nanog,ppap2b
nanog,ooep
nanog,2810417h13rik
nanog,pdzd2
nanog,ppp1r14a
nanog,pdrg1
nanog,ifitm1
nanog,pdgfrl
nanog,1700007k13rik
nanog,glrx2
nanog,hist1h4h
nanog,krtap4-13
nanog,clybl
nanog,fyttd1
nanog,afap1
nanog,3830417a13rik
nanog,ptplb
nanog,hmgxb4
nanog,mfap3l
nanog,lrrc34
nanog,ttc30b
nanog,naalad2
nanog,dnajc6
nanog,3110040m04rik
nanog,5430402o13rik
nanog,vgll3
nanog,glipr1
nanog,tubb2b
nanog,dmkn
nanog,cep55
nanog,cyp2s1
nanog,crct1
nanog,fblim1
nanog,lrrc2
nanog,hsf2bp
nanog,2610036d13rik
nanog,acyp2
nanog,calml4
nanog,cdyl2
nanog,tax1bp3
nanog,1110019d14rik
nanog,1700019e19rik
nanog,calcoco2
nanog,2700079j08rik
nanog,stk31
nanog,5730601f06rik
nanog,limch1
nanog,prelid2
nanog,mlana
nanog,pdcl2
nanog,apobec3
nanog,cwc22
nanog,ifitm2
nanog,slc16a3
nanog,glis2
nanog,tex14
nanog,cml2
nanog,tinagl1
nanog,hist2h4
nanog,nlrp4f
nanog,ldlrap1
nanog,zfand2a
nanog,b630005n14rik
