"1110008f13rik","1500012f01rik","1700007k13rik","2200002d01rik","2310036o22rik","2410006h16rik","2700046a07rik","2810403a07rik","2810428i15rik","a630089n07rik","abcd4","acaa1b","acot13","actb","actg1","actl6a","actn1","adamts13","aes","ahcyl2","ahsa1","aifm1","akr1b3","anxa2","apitd1","apoe","aprt","arf1","arl6ip1","arl6ip4","arpc1b","asb13","asb6","asns","ass1","atf4","atf5","atg101","atp5j2","atp6v0d1","atp6v0e","aurka","b3gnt7","bc018473","bc1","bcas2","bcl3","best2","bex1","bhmt","bloc1s1","blvrb","bri3","bscl2","bud31","bzw2","calcoco2","calm1","calm2","calr","calu","cbx3","ccdc124","ccdc22","ccdc36","ccnb1","ccnd3","ccne1","cct5","cd63","cd9","cdc20","cdc5l","cdk2ap1","cdkn1a","cdkn2aip","cdv3","cenpa","cenpn","cep83","cfdp1","cggbp1","chchd10","chchd3","chchd4","chmp4b","churc1","ckb","cks2","clic1","clic4","clu","col18a1","col4a1","col4a2","copb2","cope","coq7","cox10","cox7a2l","creld2","crip1","crip2","crlf2","csrp1","cstb","ctgf","ctnnal1","ctsd","ctsh","ctsl","cyc1","d11wsu47e","d230025d16rik","dap","dapk3","dcdc2c","dcun1d5","ddt","ddx39b","ddx56","deb1","degs1","dhx16","dmkn","dnajc2","dnmt3b","dnmt3l","dppa4","dppa5a","dstn","dtd1","dusp1","dusp9","dym","dynll1","e130012a19rik","echdc2","eid2","eif2s2","eif3c","eif3g","eif4ebp1","elof1","elp5","emc10","emg1","epas1","epha2","erdr1","erf","esd","esrrb","etv4","exoc3l","exosc2","exosc8","f830016b08rik","fabp3","fabp5","fam129b","fam195a","fam229b","fam25c","fam96b","fcf1","fdft1","fgd1","fgf4","fkbp1a","fkbp3","fkbp4","flna","flnb","fn1","fscn1","fth1","ftl1","fto","gabarapl2","galk1","glipr2","glrx5","glud1","glul","gm10845","gm20594","gm6083","gm6878","gm7102","gm7325","gna11","gng5","gorasp2","gpx1","gpx2","gpx3","gpx4","grn","gsn","gstm1","gtf2f1","gtf3a","guca1a","guk1","h19","h2afx","h2afz","hap1","hax1","hbegf","hist1h2ah","hist1h2ao","hist1h3b","hist1h4i","hmces","hmox1","hn1","hs1bp3","hsp90aa1","hsp90b1","hspa12b","hspa5","hspb1","hsph1","htra1","id1","id2","id3","ifitm1","igfbp2","ikbip","imp3","impact","itpk1","kctd15","kif15","klf2","klf4","klf5","kpna2","krt18","krt19","krt8","krtcap2","lama1","lamb1","lamc1","laptm5","ldha","ldhb","lgals1","lgmn","lias","lima1","lin28a","lincenc1","lmna","lonp1","lrpap1","lrrc59","ltb","ltbp4","ly6a","madd","maged1","malat1","malsu1","manf","map4k5","marcksl1","mark3","mars","mcm7","mdh2","mea1","med10","med13l","meg3","mfge8","midn","mif4gd","morf4l2","mrpl12","mrpl13","mrpl14","mrpl23","mrpl34","mrpl43","mrpl53","mt1","mt2","mthfd2","mybl2","mycn","mylpf","myod1","nanog","ndrg4","ndufa13","ndufa4","ndufb10","ndufb11","ndufb6","nfyb","ngfrap1","nhp2","nkain3","nlrp1a","nme6","nodal","ntan1","nxn","ocel1","p4hb","papd5","parvb","pbld1","pcna","pcolce","pdgfa","pdia6","pdlim7","pecr","peg10","pfdn2","pfdn6","pgk1","phc1","pih1d1","pim3","pkig","pkp2","plec","plin2","plk1","pmm1","pmvk","polr2e","polr2h","pop5","ppa1","ppa2","ppie","ppm1a","ppp1r8","prpf3","prpsap1","prr13","psap","psma2","psmc1","psmd11","psmd6","psmd7","ptcd2","ptov1","pttg1","qars","qdpr","qsox1","rabac1","rad51","rarg","rasgrp2","rbfa","rbm42","rbmxl1","rheb","rhox13","rhox5","rian","rnaseh2c","rnf7","romo1","rpap1","rpl10l","rpl39l","rrp7a","rwdd1","s100a10","s100a6","saal1","safb2","sall4","samm50","sbk1","scamp3","scd2","sdhc","sec11c","sept12","serpinh1","sertad1","set","sf3b5","sfn","sgk1","siva1","slc25a4","slc25a5","slc29a1","slc2a1","slc2a3","slc30a2","slc3a2","slc6a8","slirp","smn1","snf8","snrpa1","snx6","socs2","sohlh2","sort1","sox2","sparc","spata33","spns1","sprr2b","sqstm1","srgn","srm","srpk1","srrd","srrt","sssca1","stmn1","stmn2","stmn3","stx5a","supt4a","surf4","syce2","taf11","tagln","tagln2","tbc1d16","tcea3","tceb2","tcf15","tcl1","tdgf1","tdh","tex19.1","thoc3","timm8b","tinagl1","tmem230","tmsb4x","top2a","tor4a","tpd52","tpi1","tpx2","tra2b","trappc3","trib3","trim25","trim28","trim71","trmt1","tsc22d1","tspan17","tspan4","tsta3","tuba4a","tubb2b","tubb3","tubb6","txn1","txnip","txnl1","txnrd1","tyw1","u2af1","ubald2","ube2l6","ube2s","ube3b","uchl1","ulk1","ung","upp1","utf1","utp3","vim","vipas39","wars","wbp5","wtap","xpnpep1","xrcc1","ybx3","ywhaq","zc3hc1","zdhhc7","zfp286","zfp296","zfp42"
5,3,3,4,1,0,0,1,6,13,3,1,0,45,58,4,7,5,10,3,7,1,8,0,0,2,10,14,3,2,3,1,2,4,4,3,2,5,8,2,3,3,1,13,23,17,0,6,16,1,0,2,0,2,3,1,0,3,7,14,1,4,2,2,27,2,26,6,4,3,6,2,6,6,1,1,7,6,4,3,4,6,12,1,2,1,17,1,0,3,4,2,2,2,1,1,1,1,1,9,1,4,2,1,0,1,0,3,8,0,1,3,2,0,0,2,2,1,2,5,5,0,2,3,2,4,0,3,1,44,8,5,0,1,0,5,9,0,0,10,6,7,7,3,1,0,3,4,2,26,8,1,4,10,0,16,0,5,3,1,3,3,6,2,4,1,2,2,4,11,5,6,7,9,5,3,24,61,6,7,1,3,0,12,3,6,6,8,5,0,3,3,9,2,6,1,0,16,1,0,1,2,4,0,3,2,1,12,4,3,2,7,19,1,0,4,9,4,0,34,4,4,6,31,1,2,5,0,0,1,1,4,1,2,8,2,5,5,2,9,9,3,0,4,4,3,5,2,4,4,2,0,0,4,4,6,2,2,4,2,7,0,4,0,9,1,24,0,2,4,3,1,2,11,4,0,3,6,3,1,7,2,11,5,3,1,1,3,19,2,42,55,0,3,3,1,1,1,0,2,6,3,1,0,1,3,20,28,30,2,1,2,1,0,7,2,1,39,8,3,3,8,5,0,6,9,10,9,2,1,5,0,3,5,0,1,1,0,11,3,4,6,2,0,1,3,1,3,4,1,4,2,0,2,8,0,0,2,2,5,1,1,3,3,2,3,3,5,3,0,0,0,3,3,4,2,3,1,5,2,2,6,2,2,4,2,1,0,2,4,0,2,0,1,17,2,5,2,5,6,7,4,13,6,0,3,2,3,2,0,4,1,3,1,1,4,6,1,1,0,1,2,6,2,1,4,0,2,4,1,2,2,4,0,0,1,3,3,7,10,0,0,9,15,8,5,2,1,5,15,7,29,1,3,0,2,0,1,8,33,2,0,11,0,3,1,4,2,3,1,18,2,2,5,20,4,2,1,8,0,5,1,5,6,7,5,0,3,5,1,4,5,4,4,10,2,0,0,2,9
9,3,1,1,2,1,0,0,1,4,8,1,0,31,32,4,3,7,8,4,3,1,5,2,0,3,7,8,6,1,6,0,1,5,1,4,3,5,9,1,1,0,3,7,17,18,4,0,16,1,2,0,2,3,2,0,0,4,2,6,4,4,3,1,48,8,23,2,7,5,7,1,13,2,1,2,3,3,2,0,6,2,0,1,4,9,8,4,1,3,2,3,4,1,3,0,3,2,4,5,1,3,6,1,2,0,3,4,7,1,3,4,3,2,1,1,4,2,3,16,4,1,4,3,2,4,3,4,1,42,5,0,2,0,3,9,11,0,0,22,3,5,8,1,4,5,5,3,2,15,10,4,10,2,0,17,1,3,5,4,1,0,2,19,5,2,2,0,3,6,2,12,4,3,9,2,20,65,2,3,0,2,2,19,3,3,11,8,3,1,0,5,3,6,30,2,3,13,1,0,1,3,7,4,2,1,1,10,2,1,0,15,40,0,0,4,2,4,1,48,3,8,6,9,8,1,3,0,0,1,4,7,2,5,3,2,4,1,3,7,1,2,0,0,1,1,1,3,2,6,4,1,0,2,4,1,2,0,1,5,13,0,0,8,10,3,20,1,2,1,11,3,3,5,11,3,2,9,3,8,1,3,3,3,2,1,3,2,19,1,53,84,1,9,2,15,1,6,1,2,2,6,3,1,4,18,20,28,15,2,2,1,0,0,6,0,4,19,4,1,1,5,3,2,9,1,5,28,1,1,0,0,0,9,1,0,2,11,15,5,2,2,1,1,3,1,0,4,1,5,3,8,1,6,4,1,2,1,1,7,0,3,0,4,8,1,8,4,1,5,0,0,1,7,4,1,5,0,2,3,4,29,3,5,5,3,1,4,0,3,1,5,1,1,33,1,3,4,7,20,7,18,1,10,1,4,3,10,0,1,7,3,10,1,2,12,10,0,1,2,3,0,3,1,0,3,1,9,0,0,1,2,2,0,3,0,2,2,1,15,7,1,7,26,5,2,3,0,4,14,5,38,0,4,3,1,2,3,1,34,3,1,10,1,0,2,0,4,1,0,6,0,13,2,21,6,2,1,4,1,1,2,3,0,6,1,1,0,3,9,12,7,0,6,4,1,2,2,6,14
20,6,3,1,0,1,2,0,8,17,11,0,0,42,73,2,2,3,4,5,12,2,13,1,1,5,8,6,11,2,8,0,6,3,3,8,0,4,5,4,0,4,6,4,40,18,2,0,15,1,3,0,2,0,3,3,2,8,4,8,1,2,1,1,61,6,7,6,4,2,6,7,7,10,1,3,4,7,1,0,6,1,6,5,3,5,17,3,1,0,0,2,6,2,5,4,2,0,0,4,0,1,4,2,2,1,1,0,9,0,1,4,1,4,2,0,1,4,3,9,3,0,1,0,0,5,2,14,0,81,7,1,2,4,0,9,2,4,1,20,9,12,7,3,8,2,9,2,9,15,3,3,3,5,2,15,1,9,1,0,5,1,7,3,3,4,2,0,3,11,6,11,7,7,8,14,16,50,13,3,0,4,2,13,1,9,8,9,1,2,2,0,7,0,10,0,0,48,5,4,0,1,2,0,3,0,8,23,0,5,2,7,31,0,0,8,2,4,1,105,2,14,7,32,4,1,5,0,0,1,2,3,0,1,0,10,0,6,4,3,12,1,0,0,4,1,2,2,2,8,1,4,1,1,5,0,1,1,0,2,8,0,1,2,29,5,22,1,3,10,4,4,2,12,7,4,1,6,11,1,6,1,16,8,3,2,3,3,19,1,58,84,0,2,5,6,2,1,0,3,5,6,2,5,7,18,24,30,35,1,2,0,0,1,6,1,4,27,10,3,2,7,2,0,5,9,9,16,7,1,8,0,1,4,0,2,7,2,11,7,0,7,0,1,6,0,2,4,0,8,3,6,1,2,5,1,4,5,5,1,1,3,0,3,6,3,2,2,3,1,0,7,1,5,1,1,1,1,1,2,7,8,2,3,7,5,8,1,1,6,0,6,2,0,17,6,6,5,5,4,8,26,6,5,4,6,3,4,5,3,6,0,4,3,4,12,5,1,0,0,6,3,8,0,1,11,4,4,1,1,6,4,5,1,2,1,2,15,5,8,3,3,17,21,10,6,1,1,7,10,4,19,2,1,2,4,1,0,6,25,10,1,14,0,1,2,3,3,3,2,12,2,7,5,14,5,7,1,9,2,2,3,6,7,16,3,1,3,3,0,2,11,2,5,16,10,1,1,1,7
1,0,0,1,0,0,2,0,2,14,7,0,0,40,29,3,5,4,2,14,6,0,5,1,1,2,6,3,6,0,2,3,2,7,2,3,1,2,3,1,2,2,0,18,25,12,2,3,16,0,0,2,2,0,0,0,2,6,5,6,1,1,2,1,115,2,10,0,3,0,12,10,5,4,0,3,3,5,1,1,4,3,4,3,5,5,10,4,5,1,3,1,0,2,1,0,3,1,2,3,0,2,1,0,3,1,1,1,2,1,2,3,3,3,2,0,1,1,2,6,6,4,0,3,1,5,6,5,1,65,3,1,1,3,1,10,6,2,3,54,5,9,5,1,11,2,2,2,1,4,7,4,5,7,0,13,1,3,0,4,1,0,4,1,0,2,10,0,2,1,4,6,10,2,3,1,16,83,0,1,3,0,0,5,2,9,10,7,1,1,1,0,14,1,11,0,0,22,4,0,6,3,3,1,0,1,1,7,1,3,1,0,4,0,1,3,3,6,1,86,2,0,7,7,3,0,4,0,0,4,3,3,2,5,3,1,1,2,3,0,8,0,0,0,1,3,0,7,3,2,4,1,1,2,7,1,4,1,1,5,5,0,2,0,4,0,23,0,6,2,3,3,2,3,2,1,0,5,8,1,2,0,2,3,3,2,0,1,19,0,12,41,1,6,0,13,0,3,0,0,4,4,1,1,2,17,5,28,8,1,2,1,1,1,6,0,1,23,3,4,6,9,6,0,1,1,3,7,6,1,3,1,1,2,0,6,3,2,10,4,3,4,0,0,1,0,1,2,1,3,6,8,2,8,2,0,2,5,1,0,2,1,1,2,0,6,3,0,3,2,0,0,3,3,2,2,3,2,1,2,3,9,5,0,5,1,1,2,2,3,1,0,0,0,24,1,5,0,3,4,2,2,2,4,0,2,1,0,0,4,1,0,2,1,1,6,4,0,3,0,3,0,8,0,1,3,0,0,10,0,2,3,7,0,3,0,4,2,3,7,0,1,6,11,11,1,1,0,3,7,6,24,3,1,3,9,4,0,3,19,1,4,11,0,0,1,9,7,3,3,11,1,5,10,8,8,5,0,13,2,1,1,3,0,1,0,0,1,1,5,4,1,0,0,2,5,1,5,1,9
5,0,2,2,3,1,2,0,1,5,2,0,0,14,19,0,1,0,1,2,3,0,3,0,2,1,1,3,1,0,2,0,0,1,2,2,0,1,5,0,0,0,1,2,14,4,0,2,6,0,0,1,0,0,4,0,4,0,1,3,1,0,1,0,14,0,5,0,7,0,4,0,1,0,0,2,1,2,0,1,1,0,2,1,0,2,3,1,0,0,1,2,0,0,1,2,0,1,0,0,0,1,0,1,1,0,0,3,1,0,0,3,0,2,0,0,0,0,1,2,3,0,0,0,1,1,2,1,0,24,1,0,0,1,1,3,3,1,1,6,3,2,1,0,1,0,2,2,0,0,4,0,4,1,0,2,0,2,1,2,0,0,3,2,1,0,2,0,3,2,2,2,2,0,1,2,9,30,1,4,0,0,0,7,0,2,5,7,1,0,0,0,2,5,6,1,1,5,3,0,0,1,1,0,0,0,0,12,0,0,3,1,7,0,0,3,0,0,0,25,1,2,2,8,0,1,0,0,0,0,0,1,0,4,0,4,1,2,1,2,2,2,0,1,0,1,1,2,0,5,0,1,0,0,3,0,0,0,1,0,5,1,3,5,3,0,8,0,3,0,2,1,4,2,3,0,0,4,0,1,5,0,1,0,0,2,3,0,0,0,14,30,1,3,1,1,0,0,2,2,0,2,2,0,2,8,6,10,3,0,0,0,1,0,1,0,2,3,2,0,0,3,1,0,0,5,2,0,1,0,2,0,1,1,0,1,2,0,0,0,0,5,0,0,5,0,2,2,5,1,3,0,0,1,2,0,3,0,2,0,0,0,0,1,2,2,0,1,1,0,0,0,0,4,1,2,2,1,1,4,0,10,0,0,0,2,0,0,0,0,0,3,0,2,10,2,1,1,2,3,0,4,0,3,1,2,0,0,1,0,2,0,1,2,1,4,1,0,0,0,0,1,4,0,0,6,1,0,0,0,0,0,1,1,1,0,0,1,2,3,2,0,1,4,2,0,0,1,0,5,1,3,2,1,2,0,0,0,0,12,1,4,2,0,1,1,2,2,0,0,3,0,1,1,2,5,0,0,3,0,1,1,0,0,2,2,0,1,0,4,4,1,0,0,1,1,0,0,0,5
4,9,1,5,5,9,3,2,1,17,16,0,2,47,45,4,3,7,1,24,6,3,3,2,1,3,5,14,2,0,4,1,4,5,7,4,2,2,6,1,0,2,4,19,116,19,2,2,26,2,2,4,3,0,3,0,1,5,4,4,5,0,1,2,121,3,14,0,9,5,2,2,9,3,0,2,8,2,0,1,3,3,2,2,0,8,10,3,2,3,2,0,0,2,2,4,2,0,1,5,1,6,3,5,5,1,2,3,8,2,3,4,1,2,2,1,4,2,1,10,3,0,1,6,0,7,8,10,2,49,1,4,1,2,4,14,15,2,3,38,9,5,7,0,10,0,4,1,2,13,7,3,5,1,1,7,0,10,6,8,7,0,2,9,1,1,2,2,3,3,1,4,1,4,1,6,19,66,7,2,2,2,5,24,1,8,6,7,2,3,0,3,4,6,14,0,1,12,1,1,1,3,2,0,0,4,5,23,2,2,1,7,47,1,0,2,4,3,1,91,5,6,3,19,8,4,2,0,0,1,2,10,0,2,2,1,0,3,4,12,9,0,0,0,5,2,0,6,2,3,4,4,3,3,8,2,0,6,1,2,4,0,1,5,11,5,61,2,3,5,9,1,6,11,2,2,1,4,7,1,2,6,4,9,2,1,4,3,7,1,40,117,1,11,3,12,1,6,0,0,5,2,3,1,1,17,8,38,19,3,0,2,1,1,7,4,3,13,6,0,0,8,2,0,3,12,3,12,3,5,4,5,3,9,3,6,3,3,7,3,2,5,0,0,1,1,5,6,2,1,4,6,3,2,4,1,1,0,7,4,0,3,1,3,0,3,9,9,4,0,4,3,0,10,3,2,0,3,1,2,4,13,3,1,2,3,1,0,1,3,0,2,2,2,30,3,4,1,4,8,13,13,2,5,6,5,2,4,4,4,2,1,1,1,3,14,7,2,4,0,6,1,7,2,1,9,0,3,5,1,4,3,17,0,0,0,5,4,2,14,0,0,7,17,3,6,0,1,1,16,8,19,3,1,2,2,2,1,8,31,3,1,6,3,1,2,5,3,0,2,10,1,6,4,12,5,4,0,10,2,4,4,3,0,11,0,1,5,4,13,4,3,4,2,5,7,0,4,2,4
1,1,1,1,4,0,2,3,0,15,3,0,1,34,29,2,2,5,8,0,7,0,2,0,0,1,1,5,4,0,0,0,0,3,2,5,0,1,6,2,2,0,2,3,8,6,1,2,14,0,0,4,3,1,1,3,1,2,11,8,1,0,0,0,32,3,5,2,2,1,3,2,5,8,0,0,12,1,0,13,12,0,3,4,3,0,9,3,0,0,1,2,2,1,2,1,0,1,0,2,2,0,0,1,1,0,0,3,2,2,0,6,1,0,0,0,0,4,0,2,3,0,1,9,0,2,3,6,1,18,1,1,0,0,1,2,5,2,2,21,8,1,2,2,2,1,3,0,1,14,1,2,5,2,0,6,0,9,3,2,2,0,5,1,2,1,3,0,1,3,5,6,2,1,11,8,29,57,4,6,0,0,0,6,3,8,5,3,0,0,0,0,6,3,6,1,0,9,1,0,0,1,1,0,1,0,4,8,1,2,1,0,9,0,0,6,0,0,3,34,1,1,1,6,2,1,2,0,0,1,1,5,0,2,3,3,4,4,1,3,1,0,0,0,3,1,2,3,1,1,4,1,0,6,0,0,0,0,2,3,10,0,2,0,8,0,13,0,1,6,1,1,4,1,1,1,1,6,9,3,1,3,3,0,2,2,1,3,4,0,30,40,3,8,0,3,1,0,0,3,1,1,3,4,1,5,3,25,16,1,1,0,0,4,2,1,2,10,2,0,0,4,0,0,3,4,4,5,8,2,6,0,3,7,0,1,4,1,0,2,3,2,1,1,0,1,0,1,0,8,7,1,1,2,4,0,1,5,2,4,0,5,0,1,1,1,3,3,1,4,0,4,3,4,0,8,1,3,0,3,0,2,4,3,4,4,1,1,2,6,0,0,2,2,16,2,1,5,2,2,2,17,2,1,3,0,0,3,4,1,5,1,2,1,4,10,5,0,1,0,2,4,3,1,1,2,0,5,1,0,2,5,1,0,0,0,2,6,6,10,0,1,3,4,7,1,2,1,4,10,2,14,1,5,1,2,0,1,6,17,18,2,6,1,0,0,1,1,0,0,7,5,5,4,12,5,4,2,1,0,2,1,0,1,3,3,0,0,1,2,7,0,7,4,5,4,1,1,1,1
3,7,1,1,3,0,7,5,2,48,6,1,2,20,33,5,7,7,2,5,3,1,9,1,0,7,3,14,6,1,3,5,3,4,3,1,1,2,6,2,8,0,14,12,9,13,2,0,9,0,2,1,3,0,7,4,4,6,4,32,8,1,0,1,12,1,5,3,4,21,18,1,2,4,1,14,4,0,3,2,0,2,9,1,4,4,15,3,1,4,1,2,8,4,11,3,2,1,4,3,8,0,0,5,2,0,6,4,34,0,4,2,1,1,3,1,1,0,1,7,2,1,5,1,2,4,3,4,6,32,1,1,1,1,3,1,4,2,0,11,9,9,7,1,17,3,1,1,1,9,6,9,2,6,0,19,3,13,11,5,1,0,38,3,0,0,10,3,8,12,2,5,11,13,30,2,12,31,21,0,5,4,3,8,1,13,8,5,1,2,0,6,4,5,9,1,3,12,8,0,2,1,5,0,6,2,3,8,4,4,2,0,8,0,2,3,6,4,5,55,45,27,39,9,3,16,1,2,1,6,1,7,3,6,3,29,6,4,9,7,3,0,1,0,2,3,6,11,7,10,3,3,5,2,5,1,2,2,1,9,7,1,3,15,49,2,62,0,5,31,3,8,1,7,9,2,3,11,27,11,4,5,8,3,0,1,3,0,29,2,17,50,1,9,2,6,1,5,0,4,3,2,5,4,2,5,3,55,36,5,2,6,0,1,23,5,4,31,2,3,1,29,3,0,3,1,5,14,6,1,1,2,5,16,1,3,1,0,1,1,1,6,0,1,3,1,0,8,0,15,6,2,2,2,6,0,5,0,4,2,2,2,1,3,1,3,6,3,0,2,0,2,2,1,1,2,3,1,1,3,3,23,8,2,3,2,6,5,3,12,0,0,3,1,8,2,7,5,5,5,4,19,16,26,5,11,3,6,0,0,8,6,0,0,4,8,18,0,4,0,4,12,4,7,1,10,1,5,5,1,0,0,15,1,1,0,7,43,2,9,0,2,11,5,1,2,3,0,22,2,6,28,8,2,2,6,1,5,4,20,3,1,8,1,1,3,6,2,1,2,6,7,6,1,14,3,5,6,5,2,3,3,6,2,7,3,2,2,4,7,7,1,2,5,3,9,1,12,2,9
3,1,0,1,1,0,0,0,3,4,4,0,0,10,22,3,4,3,5,0,1,3,0,0,1,1,3,1,1,0,1,0,0,3,3,1,2,1,1,3,0,4,0,11,14,5,0,2,8,0,1,0,2,0,2,0,2,1,2,1,2,1,0,1,17,0,4,1,1,2,2,2,0,1,1,4,5,3,0,0,2,1,5,2,1,1,3,0,0,0,1,0,0,0,1,0,2,2,3,2,1,0,0,1,0,1,2,3,1,0,0,2,0,0,2,0,0,1,1,6,1,0,4,1,0,2,2,1,2,30,2,0,0,0,1,6,3,0,0,11,2,3,1,0,5,1,1,1,2,10,2,1,0,2,2,2,0,2,1,1,1,0,1,4,1,0,0,1,0,1,4,4,3,3,0,3,4,51,0,1,1,0,0,8,2,4,5,6,0,0,2,1,3,4,6,0,0,9,0,0,1,1,0,0,0,0,8,5,0,1,0,0,0,0,0,0,1,4,1,34,2,2,2,9,4,0,0,0,1,0,3,2,0,1,2,1,2,0,2,3,1,0,1,1,3,0,0,2,3,1,1,0,0,1,1,0,0,5,2,1,7,0,1,0,2,0,9,0,1,2,1,0,3,0,0,0,0,0,2,0,0,1,2,1,0,2,0,1,5,0,37,55,1,4,1,0,0,1,0,0,0,0,0,1,1,3,4,11,9,0,1,1,1,0,2,0,4,8,5,0,0,2,0,1,1,1,2,3,0,1,1,0,0,2,0,3,0,1,4,1,0,2,0,0,0,1,0,1,0,0,4,2,0,2,1,1,0,0,0,0,0,2,1,0,3,0,0,1,0,0,1,1,1,1,0,2,1,1,0,1,0,4,6,4,0,1,1,0,1,4,1,2,0,0,13,0,2,0,1,2,1,3,1,1,0,1,0,5,1,1,1,0,1,0,0,2,2,0,1,0,2,2,1,0,0,3,0,0,1,0,0,0,1,2,2,0,1,1,0,3,1,0,1,5,5,0,2,0,1,2,1,4,2,3,1,2,1,0,1,10,1,1,3,0,0,2,2,3,0,1,4,2,1,1,3,2,0,2,1,0,1,3,1,0,1,0,0,2,0,5,1,1,0,3,3,1,0,5,0,1
1,0,1,0,2,0,1,0,0,5,6,2,0,24,20,1,2,3,2,6,6,0,5,0,1,0,2,3,1,0,2,0,0,1,2,1,0,2,3,2,2,0,0,11,61,5,2,1,4,0,0,2,0,0,6,0,0,6,4,2,0,3,0,0,40,0,6,2,4,2,0,2,2,0,1,0,2,0,1,0,2,0,4,2,1,1,2,2,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,2,1,1,0,1,2,0,1,0,2,1,1,2,0,1,0,1,3,0,1,0,1,2,2,2,1,21,0,0,0,0,0,1,5,0,3,5,3,5,7,3,5,0,3,2,4,1,2,0,1,2,0,7,0,1,1,0,2,0,1,1,1,1,0,0,1,2,1,1,1,2,0,2,4,25,2,0,0,0,1,3,0,4,1,2,1,0,1,3,3,0,5,0,0,10,2,0,1,0,4,0,1,0,2,10,0,3,1,1,6,0,0,1,0,0,0,24,3,3,0,15,4,0,0,1,0,1,0,1,1,1,5,1,2,0,0,4,0,1,0,1,2,1,0,2,1,3,0,0,0,0,3,0,0,2,0,0,3,0,2,0,5,1,6,0,2,0,2,0,1,4,1,1,0,4,2,0,0,2,3,2,0,0,0,3,19,0,12,18,0,0,1,7,2,1,2,0,0,1,2,0,1,1,5,12,9,0,0,0,4,3,1,0,1,22,1,2,0,4,2,0,4,2,3,3,3,0,1,1,0,5,1,0,1,2,3,2,0,2,0,0,0,0,0,4,0,2,4,3,2,0,4,2,0,1,0,0,0,2,0,2,1,2,0,0,3,0,0,0,1,2,1,0,2,2,5,0,0,4,1,1,2,1,0,0,0,1,1,0,1,0,8,1,1,1,2,3,1,4,0,4,0,1,0,1,0,2,0,1,3,0,1,2,2,0,0,0,4,1,4,1,0,1,0,3,3,0,0,0,3,0,1,0,1,1,2,1,1,1,2,2,1,3,1,0,2,4,0,19,1,0,1,2,2,0,3,10,1,3,3,1,0,0,3,0,0,1,1,1,0,2,10,2,0,0,6,0,0,2,4,2,5,0,0,0,0,3,2,0,1,0,3,1,0,1,1,2
