Sirt7	sirtuin 7	MGI:MGI:2385849	
Dnmt3a	DNA methyltransferase 3A	MGI:MGI:1261827	
Dnmt3b	DNA methyltransferase 3B	MGI:MGI:1261819	
Gfi1b	growth factor independent 1B	MGI:MGI:1276578	Gfi-1B
Tspyl2	TSPY-like 2	MGI:MGI:106244	CINAP|DENTT|DXBwg1396e|DXHXS1008E|E130307F10Rik
Hnrnpc	heterogeneous nuclear ribonucleoprotein C	MGI:MGI:107795	D14Wsu171e|hnRNPC1|hnRNP C1|hnRNPC2|hnRNP C2|Hnrpc|Hnrpc1|Hnrpc2
Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	MGI:MGI:107765	Fe65|Rir
Supt6	suppressor of Ty 6	MGI:MGI:107726	5131400N11Rik|SPT6|Supt6h
Phf13	PHD finger protein 13	MGI:MGI:2446217	SPOC1
Tnrc18	trinucleotide repeat containing 18	MGI:MGI:3648294	EG381742|Zfp469
Auts2	autism susceptibility candidate 2	MGI:MGI:1919847	2700063G02Rik|A730011F23Rik|D830032G16Rik
Cul4b	cullin 4B	MGI:MGI:1919834	2700050M05Rik
Wdr5	WD repeat domain 5	MGI:MGI:2155884	2410008O07Rik|Big-3|Bmp2-induced gene
Tbl1xr1	transducin (beta)-like 1X-linked receptor 1	MGI:MGI:2441730	8030499H02Rik|A630076E03Rik|C21|C230089I12Rik|DC42|Ira1|TBLR1
Bre	brain and reproductive organ-expressed protein	MGI:MGI:1333875	6030405P19Rik|B830038C02Rik
Chrac1	chromatin accessibility complex 1	MGI:MGI:2135796	2410152E03Rik|2810406L04Rik|YCL1
Mbd3	methyl-CpG binding domain protein 3	MGI:MGI:1333812	
Mbd1	methyl-CpG binding domain protein 1	MGI:MGI:1333811	Cxxc3|PCM1
Nr1h4	nuclear receptor subfamily 1, group H, member 4	MGI:MGI:1352464	Fxr|HRR1|RIP14|Rxrip14
Kdm4c	lysine (K)-specific demethylase 4C	MGI:MGI:1924054	2410141F18Rik|Jmjd2c
Naa50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	MGI:MGI:1919367	2600005K24Rik|2810441M03Rik|Mak3p|Nat13|Nat5|San
Chd9	chromodomain helicase DNA binding protein 9	MGI:MGI:1924001	1810014J18Rik|9030205D12Rik|A330063D19Rik|AD013
Bcl6	B cell leukemia/lymphoma 6	MGI:MGI:107187	Bcl5
Psme4	proteasome (prosome, macropain) activator subunit 4	MGI:MGI:2143994	
Aurkb	aurora kinase B	MGI:MGI:107168	Aik2|AIRK2|aurora B|IPL1|STK-1|Stk12|Stk5
Sin3b	transcriptional regulator, SIN3B (yeast)	MGI:MGI:107158	2810430C10Rik
Sin3a	transcriptional regulator, SIN3A (yeast)	MGI:MGI:107157	mSin3A|Sin3
Mbtd1	mbt domain containing 1	MGI:MGI:2143977	hemp
Mettl8	methyltransferase like 8	MGI:MGI:2385142	TIP
Kdm5b	lysine (K)-specific demethylase 5B	MGI:MGI:1922855	2010009J12Rik|2210016I17Rik|D1Ertd202e|Jarid1b|Plu1|PLU-1|Rb-Bp2
Supt7l	suppressor of Ty 7-like	MGI:MGI:1919445	2610524B01Rik|6030455L14Rik
