Gene symbol,v-score,q-value (BH-FDR-corrected p-value),"Maximum abundance (normalized counts, rounded)"
Sprr2b, 21.646 ,0,94
Krt8, 19.012 ,0,115
Sparc, 14.051 ,0,259
Bc1, 12.630 ,0,269
Clu, 12.060 ,0,146
Krt18, 9.637 ,0,82
H19, 7.345 ,0,59
Ccdc36, 7.124 ,0,248
Serpinh1, 6.580 ,0,67
Hist1h2ao, 6.577 ,0,104
Col4a1, 6.194 ,0,53
Fam25c, 5.457 ,0,92
Lamb1, 4.808 ,0,55
Gm7102, 4.557 ,0,59
S100a6, 4.253 ,0,60
Sfn, 4.209 ,0,44
Malat1, 3.667 ,0,83
Lama1, 3.666 ,0,44
Mt1, 3.441 ,0,123
Hspa5, 3.373 ,0,56
Fabp3, 3.283 ,0,52
Tagln2, 3.200 ,0,55
Hist1h2ah, 3.005 ,0,38
Acaa1b, 2.982 ,0,34
Ly6a, 2.982 ,0,30
Sohlh2, 2.966 ,0,47
Id1, 2.965 ,0,24
Fgd1, 2.927 ,0,73
Lrpap1, 2.873 ,0,55
Gm6878, 2.862 ,0,28
Cd63, 2.840 ,0,51
Bscl2, 2.821 ,0,44
Mt2, 2.690 ,0,197
Gm20594, 2.633 ,0,35
Papd5, 2.629 ,0,51
Slc29a1, 2.622 ,0.016109,36
Med10, 2.605 ,0.016109,31
Actg1, 2.560 ,0.016109,162
Dcdc2c, 2.515 ,0.016109,38
Lgals1, 2.451 ,0.01882,34
Anxa2, 2.419 ,0.01882,26
Rhox5, 2.381 ,0.01882,15
Mylpf, 2.380 ,0.01882,27
Hsp90b1, 2.365 ,0.01882,43
Meg3, 2.362 ,0.01882,31
2700046A07Rik, 2.317 ,0.01882,32
Slc25a4, 2.315 ,0.01882,32
Ctgf, 2.309 ,0.01882,34
Tmsb4x, 2.279 ,0.01882,61
Gsn, 2.264 ,0.01882,30
Bhmt, 2.254 ,0.01882,20
Ccnd3, 2.245 ,0.01882,39
Sept12, 2.210 ,0.01882,17
Manf, 2.206 ,0.01882,32
Trim71, 2.184 ,0.01882,29
Tagln, 2.138 ,0.01882,20
Col4a2, 2.135 ,0.01882,35
Hsp90aa1, 2.121 ,0.01882,190
Ahcyl2, 2.105 ,0.01882,30
Best2, 2.094 ,0.01882,19
