TF (knockdown),Gene Symbol,Logratio(log10),Fold change
4932441K18Rik,Hao1,0.8132,6.504
4932441K18Rik,4932441K18Rik,-0.5716,0.2681
Aff1,Ssty1,0.6206,4.174
Aff1,Mab21l1,0.6069,4.044
Aff1,EG640613,0.5732,3.742
Aff1,LOC665276,0.5677,3.695
Aff1,Alb,0.5466,3.52
Aff1,St8sia2,0.5184,3.299
Aff1,Fgfbp3,0.4966,3.137
Aff1,Hdhd1a,0.4888,3.081
Aff1,2210419I08Rik,0.4885,3.079
Aff1,Tshr,0.4875,3.072
Aff1,Col12a1,0.4387,2.745
Aff1,EG386551,0.4235,2.651
Aff1,1110032E23Rik,0.4198,2.629
Aff1,Fas,0.4061,2.547
Aff1,E230015J15Rik,0.3947,2.481
Aff1,Cxcr6,0.3892,2.45
Aff1,Inhba,0.3837,2.419
Aff1,Aldh1a3,0.3721,2.355
Aff1,Anxa1,0.348,2.228
Aff1,Uts2d,0.3456,2.216
Aff1,Lif,0.3356,2.165
Aff1,Nedd9,0.332,2.147
Aff1,2210403K04Rik,0.3267,2.121
Aff1,D030068K23Rik,-0.3444,0.4524
Aff1,Cpne9,-0.3646,0.4319
Aff1,Osta,-0.4086,0.3903
Aff1,Kcnj12,-0.4204,0.3798
Aff1,Aff1,-0.438,0.3647
Aff1,2310002J15Rik,-0.485,0.3273
Aff1,9030625G05Rik,-0.5842,0.2604
Aire,Mrgpra7,-0.6626,0.2174
Ash2l,Klra22,0.5347,3.425
Btbd14b,Krt79,1.0895,12.288
Btbd14b,Slc32a1,0.728,5.345
Btbd14b,Ifne1,0.606,4.036
Btbd14b,1700026N04Rik,0.605,4.027
Btbd14b,LOC547322,0.5887,3.878
Btbd14b,Tcp10c,0.5781,3.785
Btbd14b,Mitf,0.5568,3.604
Btbd14b,Napsa,0.4008,2.516
Btbd14b,A830058I18Rik,0.3556,2.267
Btbd14b,Rlbp1,-0.3512,0.4454
Btbd14b,Uprt,-0.3624,0.4341
Btbd14b,Lix1,-0.3684,0.4281
Btbd14b,Socs4,-0.4006,0.3975
Btbd14b,Gap43,-0.4259,0.375
Btbd14b,She,-0.4845,0.3277
Btbd14b,Btbd14b,-0.5901,0.2569
Cdc5l,LOC621487,1.2423,17.47
Cdc5l,Defb13,1.0389,10.937
Cdc5l,LOC665276,0.948,8.871
Cdc5l,1700023I07Rik,0.9231,8.377
Cdc5l,1810062G17Rik,0.9158,8.237
Cdc5l,LOC436292,0.889,7.744
Cdc5l,Olfr954,0.8814,7.61
Cdc5l,Ssty1,0.8639,7.309
Cdc5l,Srd5a1,0.8384,6.892
Cdc5l,LOC100040223,0.8312,6.779
Cdc5l,Speer4d,0.8199,6.605
Cdc5l,Gm839,0.8062,6.4
Cdc5l,LOC433295,0.7948,6.234
Cdc5l,6030407O03Rik,0.7925,6.201
Cdc5l,4930479D17Rik,0.7855,6.102
Cdc5l,Mkl2,0.7647,5.817
Cdc5l,Gm799,0.7561,5.702
Cdc5l,Tprg,0.7467,5.58
Cdc5l,Prox1,0.7172,5.214
Cdc5l,4930578G10Rik,0.7028,5.044
Cdc5l,LOC665918,0.6959,4.964
Cdc5l,Sbp,0.6597,4.567
Cdc5l,Ptpre,0.6533,4.5
Cdc5l,C1r,0.65,4.466
Cdc5l,9530059O14Rik,0.6411,4.376
Cdc5l,Abcc2,0.6402,4.367
Cdc5l,1700093K21Rik,0.6337,4.302
Cdc5l,LOC673203,0.6226,4.193
Cdc5l,Arhgap24,0.609,4.064
Cdc5l,LOC668206,0.6078,4.053
Cdc5l,EG667407,0.6031,4.009
Cdc5l,Hoxc6,0.5998,3.979
Cdc5l,1700014D04Rik,0.596,3.944
