"dataset_id","evolved_graph_id","parameterization","num_rows","num_columns"
1,1,"linear_gaussian",100,7
2,2,"linear_gaussian",100,3
3,3,"linear_gaussian",100,7
4,4,"linear_gaussian",100,29
5,5,"linear_gaussian",100,33
6,6,"linear_gaussian",100,30
7,7,"linear_gaussian",100,30
8,8,"linear_gaussian",100,32
9,9,"linear_gaussian",100,30
10,10,"linear_gaussian",200,30
11,11,"linear_gaussian",200,31
12,12,"linear_gaussian",200,31
13,13,"linear_gaussian",400,32
14,14,"linear_gaussian",400,29
15,15,"linear_gaussian",400,31
16,16,"linear_gaussian",400,28
17,17,"linear_gaussian",400,29
18,18,"linear_gaussian",400,29
