"evolved_graph_ids","progenitor_id","sim_run_id","num_nodes","num_edges","num_mods","mods"
1,1,1,5,7,3,"removing node:  2; duplicating node:  6; removing node:  3"
2,1,1,8,8,3,"duplicating node:  3; removing edge:  4 --> 6; duplicating node:  4"
3,1,1,6,4,3,"removing edge:  1 --> 2; duplicating node:  3; removing node:  1"
4,2,2,5,5,3,"removing node:  6; removing node:  1; duplicating node:  2"
5,2,2,5,4,3,"removing node:  1; removing node:  6; duplicating node:  5"
6,2,2,6,6,3,"removing edge:  2 --> 3; adding edge:  2 --> 5; adding edge:  4 --> 3"
7,3,3,7,9,3,"removing node:  6; duplicating node:  4; duplicating node:  5"
8,3,3,6,6,3,"duplicating node:  5; removing edge:  3 --> 5; removing node:  6"
9,3,3,5,2,3,"removing node:  2; removing edge:  1 --> 3; removing edge:  1 --> 5"
10,4,4,6,5,3,"adding edge:  2 --> 3; removing edge:  1 --> 6; removing edge:  1 --> 4"
11,4,4,5,4,3,"removing edge:  5 --> 6; removing node:  5; adding edge:  4 --> 6"
12,4,4,4,4,3,"adding edge:  3 --> 1; removing node:  4; removing node:  2"
10,5,5,7,13,3,"adding edge:  4 --> 5; adding edge:  2 --> 4; duplicating node:  6"
11,5,5,8,10,3,"removing edge:  3 --> 6; duplicating node:  4; duplicating node:  3"
12,5,5,6,7,3,"duplicating node:  4; removing node:  4; removing edge:  1 --> 3"
