"recovered_graph_id","type","dataset_id","prior_graph","path_to_ASCII","path_to_R","path_to_rJava"
1,"pooled_data",1,NA,"../log/recovered_graphs/ASCII/recovered_graph_3.txt","../log/recovered_graphs/R_objects/recovered_graph_3.R","../log/recovered_graphs/rJava_objects/recovered_graph_3.R"
2,"phase_2",1,3,"../log/recovered_graphs/ASCII/recovered_graph_4.txt","../log/recovered_graphs/R_objects/recovered_graph_4.R","../log/recovered_graphs/rJava_objects/recovered_graph_4.R"
3,"target_small_data",1,NA,"../log/recovered_graphs/ASCII/recovered_graph_5.txt","../log/recovered_graphs/R_objects/recovered_graph_5.R","../log/recovered_graphs/rJava_objects/recovered_graph_5.R"
4,"pooled_data",2,NA,"../log/recovered_graphs/ASCII/recovered_graph_4.txt","../log/recovered_graphs/R_objects/recovered_graph_4.R","../log/recovered_graphs/rJava_objects/recovered_graph_4.R"
5,"phase_2",4,5,"../log/recovered_graphs/ASCII/recovered_graph_4.txt","../log/recovered_graphs/R_objects/recovered_graph_4.R","../log/recovered_graphs/rJava_objects/recovered_graph_4.R"
6,"target_small_data",4,NA,"../log/recovered_graphs/ASCII/recovered_graph_4.txt","../log/recovered_graphs/R_objects/recovered_graph_4.R","../log/recovered_graphs/rJava_objects/recovered_graph_4.R"
7,"pooled_data",3,NA,"../log/recovered_graphs/ASCII/recovered_graph_7.txt","../log/recovered_graphs/R_objects/recovered_graph_7.R","../log/recovered_graphs/rJava_objects/recovered_graph_7.R"
8,"phase_2",7,7,"../log/recovered_graphs/ASCII/recovered_graph_7.txt","../log/recovered_graphs/R_objects/recovered_graph_7.R","../log/recovered_graphs/rJava_objects/recovered_graph_7.R"
9,"target_small_data",7,NA,"../log/recovered_graphs/ASCII/recovered_graph_7.txt","../log/recovered_graphs/R_objects/recovered_graph_7.R","../log/recovered_graphs/rJava_objects/recovered_graph_7.R"
10,"pooled_data",4,NA,"../log/recovered_graphs/ASCII/recovered_graph_10.txt","../log/recovered_graphs/R_objects/recovered_graph_10.R","../log/recovered_graphs/rJava_objects/recovered_graph_10.R"
11,"phase_2",7,9,"../log/recovered_graphs/ASCII/recovered_graph_10.txt","../log/recovered_graphs/R_objects/recovered_graph_10.R","../log/recovered_graphs/rJava_objects/recovered_graph_10.R"
12,"target_small_data",7,NA,"../log/recovered_graphs/ASCII/recovered_graph_10.txt","../log/recovered_graphs/R_objects/recovered_graph_10.R","../log/recovered_graphs/rJava_objects/recovered_graph_10.R"
13,"pooled_data",5,NA,"../log/recovered_graphs/ASCII/recovered_graph_13.txt","../log/recovered_graphs/R_objects/recovered_graph_13.R","../log/recovered_graphs/rJava_objects/recovered_graph_13.R"
14,"phase_2",7,11,"../log/recovered_graphs/ASCII/recovered_graph_14.txt","../log/recovered_graphs/R_objects/recovered_graph_14.R","../log/recovered_graphs/rJava_objects/recovered_graph_14.R"
15,"target_small_data",7,NA,"../log/recovered_graphs/ASCII/recovered_graph_15.txt","../log/recovered_graphs/R_objects/recovered_graph_15.R","../log/recovered_graphs/rJava_objects/recovered_graph_15.R"
