Zfp516	zinc finger protein 516	MGI:MGI:2443957	C330029B10Rik|Zfp26l
Rps14	ribosomal protein S14	MGI:MGI:98107	2600014J02Rik
Wwc2	WW, C2 and coiled-coil domain containing 2	MGI:MGI:1261872	D8Ertd594e
Zbtb48	zinc finger and BTB domain containing 48	MGI:MGI:2140248	0610011D15Rik|Hkr3
Creb5	cAMP responsive element binding protein 5	MGI:MGI:2443973	9430076C15Rik|Crebpa|D430026C09Rik
Psma6	proteasome (prosome, macropain) subunit, alpha type 6	MGI:MGI:1347006	
Peli1	pellino 1	MGI:MGI:1914495	2810468L03Rik|A930031K15Rik|D11Ertd676e
Camta1	calmodulin binding transcription activator 1	MGI:MGI:2140230	1810059M14Rik|2310058O09Rik
Adam8	a disintegrin and metallopeptidase domain 8	MGI:MGI:107825	CD156|CD156a|E430039A18Rik|MS2
Sirt7	sirtuin 7	MGI:MGI:2385849	
Bcas3	breast carcinoma amplified sequence 3	MGI:MGI:2385848	1500019F07Rik|2610028P08Rik|K20D4|rudhira
Zkscan14	zinc finger with KRAB and SCAN domains 14	MGI:MGI:1914485	2310046C23Rik|2810437E14Rik|Zfp99
Med29	mediator complex subunit 29	MGI:MGI:1914474	2810405O22Rik|Ixl
Srfbp1	serum response factor binding protein 1	MGI:MGI:1914472	2810036K01Rik
Med18	mediator complex subunit 18	MGI:MGI:1914469	2810046C01Rik
Cenpk	centromere protein K	MGI:MGI:1926210	B130045K24Rik|C530004N04Rik|Solt
Gatad1	GATA zinc finger domain containing 1	MGI:MGI:1914460	2310031E19Rik|2810047M21Rik|8430439A17Rik|9130430G15Rik|B330017N08Rik|Odag
Dnmt3a	DNA methyltransferase 3A	MGI:MGI:1261827	
Cand1	cullin associated and neddylation disassociated 1	MGI:MGI:1261820	2310038O07Rik|6330512O03Rik|D10Ertd516e
Uchl5	ubiquitin carboxyl-terminal esterase L5	MGI:MGI:1914848	5830413B11Rik|Uch37
Dnmt3b	DNA methyltransferase 3B	MGI:MGI:1261819	
Creb3l2	cAMP responsive element binding protein 3-like 2	MGI:MGI:2442695	BBF2H7|C530025K05Rik
Gm14412	predicted gene 14412	MGI:MGI:3652251	
Zfp654	zinc finger protein 654	MGI:MGI:1919270	1600021C16Rik|1810008K20Rik|Gm5488
Mtdh	metadherin	MGI:MGI:1914404	2610103J23Rik|3D3/Lyric|AEG-1|D8Bwg1112e|Lyric
Psmd9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	MGI:MGI:1914401	1500011J20Rik|Bridge-1|P27
Thrap3	thyroid hormone receptor associated protein 3	MGI:MGI:2442637	9330151F09Rik|B230333E16Rik|Trap150
Nup133	nucleoporin 133	MGI:MGI:2442620	4832420O05Rik|mermaid
Gfi1b	growth factor independent 1B	MGI:MGI:1276578	Gfi-1B
Cys1	cystin 1	MGI:MGI:2177632	2900006B19Rik|ck
Vsx1	visual system homeobox 1	MGI:MGI:1890816	CHX10-like
Skil	SKI-like	MGI:MGI:106203	9130011J04Rik|Skir|sno-dE3|SnoN|SnoN2
Zfp526	zinc finger protein 526	MGI:MGI:2445181	D030024H03Rik
Mnat1	menage a trois 1	MGI:MGI:106207	E130115E11Rik|MAT1
Zfp105	zinc finger protein 105	MGI:MGI:1277119	
Zfp957	zinc finger protein 957	MGI:MGI:2145729	AU017455
Wwtr1	WW domain containing transcription regulator 1	MGI:MGI:1917649	2310058J06Rik|2610021I22Rik|TAZ|transcriptional coactivator with PDZ binding motif
Tspyl2	TSPY-like 2	MGI:MGI:106244	CINAP|DENTT|DXBwg1396e|DXHXS1008E|E130307F10Rik
Mterf1b	mitochondrial transcription termination factor 1b	MGI:MGI:3704243	Gm9897
Mier2	MIER family member 2	MGI:MGI:1917677	2700087H15Rik
Zfp618	zinc finger protein 618	MGI:MGI:1919950	2810031P15Rik|2810040O04Rik|D430033D05Rik|Nedd10
Lime1	Lck interacting transmembrane adaptor 1	MGI:MGI:1919949	2810038K19Rik|LIME
Zbtb5	zinc finger and BTB domain containing 5	MGI:MGI:1924601	9430083K24Rik
Zcchc12	zinc finger, CCHC domain containing 12	MGI:MGI:1919943	2810028A01Rik|Sizn1
Lhx5	LIM homeobox protein 5	MGI:MGI:107792	Lim2
Zpr1	ZPR1 zinc finger	MGI:MGI:1330262	Zfp259
Zfp518a	zinc finger protein 518A	MGI:MGI:1919922	2810401C22Rik|6330417C12Rik|Zfp518
Mesp1	mesoderm posterior 1	MGI:MGI:107785	bHLHc5
Zfp74	zinc finger protein 74	MGI:MGI:107784	2810054M15Rik|KRAB8|Zfp66
Dmrtc1c2	DMRT-like family C1c2	MGI:MGI:3802967	
Zfp317	zinc finger protein 317	MGI:MGI:107775	D230022C05Rik|KRAB9|Zfp67|Zfp75
Zfp65	zinc finger protein 65	MGI:MGI:107769	KRAB5|Zfp71-rs1
Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	MGI:MGI:107765	Fe65|Rir
Sap25	sin3 associated polypeptide	MGI:MGI:3802945	25 kDa
Neurod2	neurogenic differentiation 2	MGI:MGI:107755	bHLHa1|Ndrf
Neurog1	neurogenin 1	MGI:MGI:107754	bHLHa6|Math4C|Neurod3|neurogenin|neurogenin 1|ngn1
Phtf2	putative homeodomain transcription factor 2	MGI:MGI:1916020	1110054G21Rik|9530062N20Rik
Hoxb13	homeobox B13	MGI:MGI:107730	
Ablim2	actin-binding LIM protein 2	MGI:MGI:2385758	
Etv2	ets variant 2	MGI:MGI:99253	Etsrp71
Fasl	Fas ligand (TNF superfamily, member 6)	MGI:MGI:99255	APT1LG1|CD178|CD95L|Fas-L|Tnfsf6
Ikzf5	IKAROS family zinc finger 5	MGI:MGI:1914393	2610034F18Rik|Zfpn1a5
Supt6	suppressor of Ty 6	MGI:MGI:107726	5131400N11Rik|SPT6|Supt6h
Abcg1	ATP-binding cassette, sub-family G (WHITE), member 1	MGI:MGI:107704	Abc8|White
Gm14443	predicted gene 14443	MGI:MGI:3652324	
Zfp787	zinc finger protein 787	MGI:MGI:1914359	2210018M03Rik
Nucks1	nuclear casein kinase and cyclin-dependent kinase substrate 1	MGI:MGI:1934811	2700010L10Rik|8430423A01Rik|Nucks
4932411N23Rik	RIKEN cDNA 4932411N23 gene	MGI:MGI:3045322	
Carf	calcium response factor	MGI:MGI:2182269	Als2cr8
Psmc6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	MGI:MGI:1914339	2300001E01Rik
Ablim3	actin binding LIM protein family, member 3	MGI:MGI:2442582	D930036B08Rik
Yaf2	YY1 associated factor 2	MGI:MGI:1914307	2810021M11Rik
Bmp10	bone morphogenetic protein 10	MGI:MGI:1338820	
Nfya	nuclear transcription factor-Y alpha	MGI:MGI:97316	Cbf-b|Sez10
Tnrc18	trinucleotide repeat containing 18	MGI:MGI:3648294	EG381742|Zfp469
Heatr1	HEAT repeat containing 1	MGI:MGI:2442524	B130016L12Rik
Fabp4	fatty acid binding protein 4, adipocyte	MGI:MGI:88038	422/aP2|ALBP/Ap2|Ap2|Lbpl
Lrp6	low density lipoprotein receptor-related protein 6	MGI:MGI:1298218	Cd|ska26|ska<m26Jus>|skax26
Zfp664	zinc finger protein 664	MGI:MGI:2442505	D930038J03Rik
Plac8	placenta-specific 8	MGI:MGI:2445289	C15|D5Wsu111e|onzin
Ar	androgen receptor	MGI:MGI:88064	
Nr1d2	nuclear receptor subfamily 1, group D, member 2	MGI:MGI:2449205	Rev-erb beta|RVR
